,area_type,availability,location,size,total_sqft,bath,balcony,price,price_per_sqft,price_per_sqft_x_1000
194,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,60.0,0.05,50.0
195,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327.0,2.0,2.0,98.0,0.07385079125847777,73.85079125847777
198,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400.0,3.0,2.0,56.0,0.04,40.0
202,Built-up  Area,Ready To Move,Whitefield,2 BHK,1225.0,2.0,2.0,47.6,0.03885714285714286,38.85714285714286
204,Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260.0,2.0,2.0,54.0,0.04285714285714286,42.857142857142854
205,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282.0,2.0,2.0,48.7,0.03798751950078003,37.98751950078003
206,Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909.0,3.0,2.0,88.0,0.04609743321110529,46.09743321110529
207,Super built-up  Area,Ready To Move,Panathur,2 BHK,1359.0,2.0,1.0,87.0,0.0640176600441501,64.0176600441501
211,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595.0,3.0,2.0,65.0,0.04075235109717868,40.75235109717868
213,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29,0.05307796610169492,53.07796610169492
214,Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580.0,3.0,3.0,100.0,0.06329113924050633,63.29113924050633
215,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0,0.05019305019305019,50.19305019305019
217,Super built-up  Area,Ready To Move,Electronic City,1 BHK,589.0,1.0,1.0,27.0,0.04584040747028863,45.840407470288625
220,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0,0.06994963626189143,69.94963626189144
221,Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475.0,2.0,3.0,90.0,0.061016949152542375,61.016949152542374
225,Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,2.0,260.0,0.10810810810810811,108.10810810810811
226,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0,0.06666666666666667,66.66666666666667
230,Super built-up  Area,Ready To Move,Budigere,2 BHK,1153.0,2.0,2.0,56.4,0.04891587163920208,48.91587163920208
231,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,2.0,60.0,0.05226480836236934,52.26480836236934
232,Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110.0,2.0,2.0,55.0,0.04954954954954955,49.54954954954955
233,Built-up  Area,Ready To Move,Electronic City,2 BHK,1100.0,2.0,2.0,42.0,0.038181818181818185,38.18181818181819
234,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110.0,0.08527131782945736,85.27131782945736
243,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644.0,3.0,3.0,84.0,0.051094890510948905,51.09489051094891
244,Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285.0,2.0,3.0,72.5,0.05642023346303502,56.42023346303502
246,Super built-up  Area,Ready To Move,Electronic City,2 BHK,910.0,2.0,1.0,40.0,0.04395604395604396,43.956043956043956
247,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577.0,3.0,1.0,70.0,0.04438807863031072,44.388078630310716
249,Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420.0,3.0,2.0,185.0,0.07644628099173553,76.44628099173553
250,Super built-up  Area,Ready To Move,Chandapura,2 BHK,800.0,1.0,1.0,20.0,0.025,25.0
252,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93.0,0.07322834645669292,73.22834645669292
259,Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045.0,3.0,2.0,170.0,0.05582922824302135,55.82922824302135
260,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,2900.0,3.0,2.0,300.0,0.10344827586206896,103.44827586206897
261,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500.0,3.0,2.0,75.5,0.050333333333333334,50.333333333333336
262,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,2.0,43.9,0.0338996138996139,33.8996138996139
263,Super built-up  Area,Ready To Move,Budigere,2 BHK,1162.0,2.0,1.0,59.9,0.05154905335628227,51.54905335628227
264,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035.0,2.0,2.0,49.2,0.04753623188405797,47.53623188405797
265,Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600.0,4.0,0.0,52.8,0.033,33.0
268,Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700.0,1.0,1.0,26.0,0.037142857142857144,37.142857142857146
269,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804.0,3.0,2.0,120.0,0.06651884700665188,66.51884700665188
275,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026.0,3.0,2.0,132.0,0.06515301085883514,65.15301085883515
276,Super built-up  Area,Ready To Move,Balagere,2 BHK,1210.0,2.0,1.0,80.9,0.0668595041322314,66.85950413223141
277,Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4111.0,4.0,2.0,250.0,0.06081245439065921,60.812454390659205
278,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762.0,3.0,3.0,91.45,0.05190124858115778,51.90124858115778
279,Super built-up  Area,Ready To Move,Jigani,3 BHK,1252.0,3.0,3.0,55.0,0.0439297124600639,43.9297124600639
280,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861.0,2.0,1.0,34.5,0.04006968641114982,40.069686411149824
281,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,2.0,1.0,100.0,0.07042253521126761,70.42253521126761
283,Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490.0,3.0,1.0,78.8,0.05288590604026845,52.88590604026845
286,Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200.0,2.0,1.0,40.0,0.03333333333333333,33.333333333333336
288,Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084.0,2.0,2.0,50.0,0.046125461254612546,46.125461254612546
292,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069.0,2.0,2.0,45.0,0.042095416276894296,42.0954162768943
293,Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349.0,2.0,1.0,98.2,0.07279466271312084,72.79466271312084
294,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005.0,2.0,1.0,50.0,0.04975124378109453,49.75124378109453
295,Super built-up  Area,Ready To Move,Jakkur,2 BHK,1417.0,2.0,3.0,75.0,0.0529287226534933,52.928722653493296
297,Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950.0,2.0,2.0,47.0,0.049473684210526316,49.473684210526315
298,Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,2000.0,4.0,0.0,120.0,0.06,60.0
300,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1863.0,3.0,2.0,104.0,0.055823939881910895,55.823939881910896
301,Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010.0,2.0,1.0,29.5,0.02920792079207921,29.20792079207921
302,Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1425.0,2.0,1.0,70.0,0.04912280701754386,49.12280701754386
303,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1450.0,3.0,0.0,100.0,0.06896551724137931,68.9655172413793
304,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847.0,3.0,2.0,105.0,0.0568489442338928,56.8489442338928
305,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100.0,2.0,3.0,45.0,0.04090909090909091,40.90909090909091
307,Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665.0,3.0,2.0,95.0,0.057057057057057055,57.05705705705706
308,Super built-up  Area,Ready To Move,Begur,4 BHK,1664.0,4.0,3.0,65.0,0.0390625,39.0625
309,Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1850.0,3.0,3.0,150.0,0.08108108108108109,81.08108108108108
310,Super built-up  Area,Ready To Move,Panathur,2 BHK,1438.0,2.0,3.0,100.0,0.06954102920723226,69.54102920723227
311,Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,3.0,115.0,0.07371794871794872,73.71794871794872
313,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550.0,3.0,3.0,67.0,0.043225806451612905,43.225806451612904
317,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280.0,2.0,2.0,75.0,0.05859375,58.59375
319,Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,1113.0,2.0,1.0,51.0,0.04582210242587601,45.82210242587601
320,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385.0,2.0,1.0,83.09,0.059992779783393506,59.99277978339351
324,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390.0,3.0,2.0,415.0,0.17364016736401675,173.64016736401675
326,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464.0,3.0,2.0,56.0,0.03825136612021858,38.25136612021858
328,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1200.0,2.0,2.0,52.0,0.043333333333333335,43.333333333333336
329,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150.0,2.0,1.0,55.0,0.04782608695652174,47.82608695652174
330,Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,1645.0,3.0,2.0,95.0,0.057750759878419454,57.75075987841945
333,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192.0,2.0,2.0,74.0,0.06208053691275168,62.080536912751676
334,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,2135.0,3.0,2.0,215.0,0.10070257611241218,100.70257611241217
336,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1020.0,2.0,2.0,45.0,0.04411764705882353,44.11764705882353
337,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122.0,6.0,2.0,230.0,0.07367072389493914,73.67072389493914
341,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1250.0,2.0,2.0,40.0,0.032,32.0
342,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1325.0,2.0,2.0,76.0,0.057358490566037736,57.35849056603774
343,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,1.0,150.0,0.08108108108108109,81.08108108108108
348,Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,1800.0,3.0,0.0,150.0,0.08333333333333333,83.33333333333333
350,Built-up  Area,Ready To Move,Ardendale,2 BHK,1100.0,2.0,1.0,43.25,0.03931818181818182,39.31818181818182
351,Super built-up  Area,Ready To Move,Harlur,2 BHK,1508.0,2.0,1.0,77.0,0.05106100795755968,51.06100795755968
352,Carpet  Area,Ready To Move,Sampigehalli,3 BHK,1592.0,3.0,2.0,75.0,0.0471105527638191,47.1105527638191
353,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1388.0,2.0,3.0,57.0,0.04106628242074928,41.066282420749275
358,Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3252.0,5.0,3.0,335.0,0.10301353013530136,103.01353013530137
360,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1308.0,2.0,2.0,89.04,0.06807339449541285,68.07339449541284
364,Super built-up  Area,Ready To Move,Hennur,2 BHK,1075.0,2.0,1.0,52.0,0.04837209302325581,48.372093023255815
367,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075.0,2.0,2.0,60.0,0.05581395348837209,55.81395348837209
368,Built-up  Area,Ready To Move,KR Puram,2 BHK,930.0,2.0,2.0,39.0,0.041935483870967745,41.935483870967744
369,Super built-up  Area,Ready To Move,Balagere,2 BHK,1380.0,2.0,1.0,60.0,0.043478260869565216,43.47826086956522
370,Super built-up  Area,Ready To Move,Hebbal,4 BHK,2483.0,5.0,2.0,212.0,0.08538058799838905,85.38058799838905
371,Built-up  Area,Ready To Move,Kodigehaali,2 BHK,1166.0,2.0,2.0,55.0,0.04716981132075472,47.16981132075472
372,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1050.0,2.0,1.0,65.0,0.06190476190476191,61.904761904761905
374,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,46.8,0.039,39.0
375,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1600.0,2.0,1.0,108.0,0.0675,67.5
376,Super built-up  Area,Ready To Move,Billekahalli,3 BHK,1935.0,3.0,2.0,110.0,0.056847545219638244,56.84754521963824
378,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1800.0,3.0,2.0,95.0,0.05277777777777778,52.77777777777778
380,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1801.0,3.0,2.0,115.0,0.06385341476957246,63.85341476957246
383,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160.0,2.0,2.0,44.0,0.03793103448275862,37.93103448275862
385,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950.0,2.0,1.0,40.0,0.042105263157894736,42.10526315789473
389,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245.0,2.0,1.0,94.0,0.07550200803212852,75.50200803212851
390,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,2.0,45.79,0.03999126637554585,39.99126637554585
391,Super built-up  Area,Ready To Move,Sompura,2 BHK,825.0,2.0,1.0,33.0,0.04,40.0
393,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1113.27,2.0,2.0,53.0,0.047607498630161595,47.607498630161594
394,Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,1460.0,2.0,1.0,58.0,0.03972602739726028,39.726027397260275
395,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,1050.0,2.0,1.0,32.0,0.030476190476190476,30.476190476190474
396,Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1260.0,2.0,2.0,55.0,0.04365079365079365,43.650793650793645
398,Built-up  Area,Ready To Move,Hosur Road,2 BHK,1656.0,2.0,1.0,120.0,0.07246376811594203,72.46376811594203
399,Super built-up  Area,Ready To Move,Chandapura,3 BHK,1208.0,3.0,1.0,45.0,0.037251655629139076,37.25165562913907
400,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1910.0,3.0,2.0,161.0,0.08429319371727749,84.29319371727749
401,Super built-up  Area,Ready To Move,Whitefield,4 BHK,3252.0,4.0,1.0,230.0,0.07072570725707257,70.72570725707257
404,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175.0,2.0,1.0,82.0,0.06978723404255319,69.78723404255318
407,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390.0,3.0,2.0,410.0,0.17154811715481172,171.5481171548117
412,Super built-up  Area,Ready To Move,Kengeri,2 BHK,750.0,2.0,1.0,38.0,0.050666666666666665,50.666666666666664
414,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550.0,3.0,3.0,64.5,0.04161290322580645,41.61290322580645
415,Built-up  Area,Ready To Move,Amco Colony,3 BHK,1760.0,3.0,2.0,88.0,0.05,50.0
416,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1125.0,2.0,2.0,62.0,0.05511111111111111,55.111111111111114
421,Super built-up  Area,Ready To Move,Budigere,3 BHK,1991.0,4.0,2.0,103.0,0.05173279758915118,51.73279758915118
423,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,1105.0,2.0,1.0,75.0,0.06787330316742081,67.87330316742081
424,Built-up  Area,Ready To Move,Hoodi,2 BHK,985.0,2.0,2.0,67.0,0.06802030456852792,68.02030456852792
427,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1120.0,2.0,2.0,55.0,0.049107142857142856,49.107142857142854
428,Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,1069.0,2.0,1.0,55.0,0.05144995322731525,51.44995322731525
429,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1933.0,3.0,2.0,140.0,0.07242628039317124,72.42628039317124
431,Super built-up  Area,Ready To Move,Brookefield,2 BHK,1150.0,2.0,3.0,69.0,0.06,60.0
433,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,2.0,48.1,0.03389711064129669,33.89711064129669
436,Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,1450.0,3.0,2.0,55.0,0.03793103448275862,37.93103448275862
438,Super built-up  Area,Ready To Move,Dasanapura,2 BHK,708.0,1.0,1.0,40.0,0.05649717514124294,56.497175141242934
441,Super built-up  Area,Ready To Move,Bellandur,2 BHK,1250.0,2.0,1.0,76.0,0.0608,60.8
442,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,2.0,1.0,95.0,0.06785714285714285,67.85714285714285
444,Super built-up  Area,Ready To Move,Ardendale,3 BHK,1750.0,3.0,2.0,100.0,0.05714285714285714,57.14285714285714
